commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Federal_nondefense_Gross_investment_in_equipment,F07N_Federal_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
321_Wood_products,14,0,0,1,4,0,6182,25,28,0,4333,639,0,0,19,193,9,2,47,200,10,0,347,24,2015,312,103,78,148,13,151,29,110,19,38,0,40,5,84,17,107,116,59,1268,0,0,14,0,-2,0,-17398,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,589,16119,-16119
322_Paper_products,107,0,1,10,2,0,459,1442,75,2,10,7141,2460,3,448,441,32,17,28,125,29,49,58,9,26,111,292,221,160,9,2362,52,13,18,94,9,188,8,219,7,137,86,55,1604,0,0,0,0,-45,0,-19411,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0,785,17852,-17852
323_Printing_and_related_support_activities,0,0,0,0,0,1,12,4,0,0,0,0,59,0,17,0,0,0,0,0,0,0,0,0,0,0,36,36,4,1,83,86,5,2,40,11,212,5,57,7,152,56,25,400,0,0,0,0,0,0,-1640,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2,246,1240,-1240
324_Petroleum_and_coal_products,1163,79,144,321,57,4655,1768,140,39,7,87,404,134,187,4719,71,67,192,88,92,48,58,41,17,11,13,182,180,5129,8,75,383,103,74,128,89,422,48,173,59,61,213,186,9017,0,0,0,0,343,0,-43219,0,0,0,0,0,0,0,0,0,0,0,0,86,2637,1059,7961,33858,-33858
325_Chemical_products,2676,315,193,322,67,17,600,848,2144,51,314,1417,317,84,17218,7268,811,138,543,286,796,299,560,106,127,869,113,87,74,57,369,50,597,10,824,89,378,62,21951,146,5,67,374,52073,2345,0,0,0,-19,0,-122130,0,0,0,0,0,0,0,0,0,0,0,0,8,1221,39,2818,67730,-67730
326_Plastics_and_rubber_products,160,9,2,230,55,0,2101,786,83,15,108,163,160,3,906,1319,101,72,247,657,349,154,2511,187,239,414,558,325,145,42,437,75,98,99,283,10,56,58,652,18,8,74,265,6224,14,0,0,0,64,0,-22015,0,0,0,0,0,2,0,0,0,0,0,0,1,221,28,1226,15711,-15711
327_Nonmetallic_mineral_products,0,0,62,3,20,0,4102,507,113,0,96,8,1,12,173,226,1990,165,280,401,280,213,863,57,116,158,7,192,16,22,516,34,0,20,211,43,91,33,542,14,7,312,72,4177,0,0,0,0,10,0,-16588,0,0,0,0,0,0,0,0,0,0,0,0,0,128,34,263,12401,-12401
331_Primary_metals,64,0,264,53,24,0,805,737,28,0,59,41,4,1,10,167,129,10856,6742,2531,2496,2035,3313,955,565,1399,315,225,23,0,62,0,76,5,108,4,49,17,53,28,3,8,60,214,0,0,0,0,-203,0,-34437,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,10,34426,-34426
332_Fabricated_metal_products,388,31,293,73,27,855,4254,828,105,7,320,348,61,4,974,450,136,208,1698,1764,661,398,3075,671,327,335,128,406,247,22,1359,21,165,42,343,82,393,50,233,98,131,239,410,4351,1469,0,0,0,68,0,-30384,0,114,0,0,0,56,0,0,0,111,0,0,13,850,137,550,24215,-24215
333_Machinery,1659,118,882,980,395,171,3903,647,21,0,77,339,521,8,613,767,51,217,608,6642,285,725,5021,1025,26,218,290,136,80,50,570,492,2,28,708,24,871,179,61,11,4,66,694,4321,37213,0,0,0,125,0,-75219,0,252,0,0,0,49,0,0,0,1958,0,0,8,119,225,764,31300,-31300
334_Computer_and_electronic_products,3,0,5,15,37,3,1224,904,568,27,325,537,759,12,1414,984,491,556,1319,2337,40169,1257,5773,1594,471,1138,1521,1590,244,77,6738,956,140,132,4971,1070,976,287,1340,92,441,205,1393,45179,53885,0,157,0,335,0,-196837,0,4931,0,0,0,1918,0,0,0,3403,0,0,0,1731,319,886,87028,-87028
335_Electrical_equipment_appliances_and_components,152,255,11,12,12,9,5268,238,45,19,267,89,48,9,240,260,36,327,577,3055,1586,2588,1173,734,29,307,67,571,33,15,984,98,107,15,1029,11,592,351,396,39,91,114,1062,11405,5348,0,919,0,82,0,-43320,0,110,0,0,0,94,0,0,0,358,0,0,4,878,496,711,25004,-25004
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,252,42,49,137,37,5,321,849,122,2,296,274,98,5,393,192,213,196,257,2834,693,135,34588,1386,159,241,950,2648,888,247,681,21,0,127,384,126,861,62,390,23,19,142,3361,76497,52780,0,0,0,2607,0,-196734,0,2166,0,0,0,158,0,0,0,5157,0,0,359,994,95,1215,57369,-57369
3364OT_Other_transportation_equipment,0,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9916,0,0,3,1,287,0,0,0,0,0,0,0,0,0,122,0,0,0,15,5093,11374,0,0,0,100,0,-28799,0,211,0,0,0,320,0,0,0,215,0,0,0,1114,14,0,11488,-11488
337_Furniture_and_related_products,0,0,0,0,0,0,4,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,46,1526,0,86,297,0,0,0,0,16,0,27,0,0,0,51,166,0,0,28,12751,5508,0,131,0,144,0,-21775,0,0,0,0,0,0,0,0,0,103,0,0,35,0,643,0,3137,-3137
339_Miscellaneous_manufacturing,4,0,3,6,2,0,104,0,97,109,0,0,2,0,86,10,45,2,3,443,2,170,460,41,0,1420,550,477,110,20,47,76,155,9,372,2,154,135,6160,204,29,120,389,41770,6340,0,0,0,184,0,-62131,0,15,0,0,0,15,0,0,0,104,0,0,0,96,1,1587,13702,-13702
42_Wholesale_trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441_Motor_vehicle_and_parts_dealers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445_Food_and_beverage_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452_General_merchandise_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481_Air_transportation,0,0,0,2,9,68,13,80,9,3,30,28,67,1,34,71,29,25,107,53,33,5,40,14,31,52,212,12,50,1,251,587,519,70,697,16,291,47,260,20,13,94,47,15687,0,0,0,0,0,0,-19956,0,0,0,0,0,0,0,0,0,0,0,0,3,88,4,181,4269,-4269
482_Rail_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483_Water_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484_Truck_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485_Transit_and_ground_passenger_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486_Pipeline_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487OS_Other_transportation_and_support_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,12,0,3,0,0,1,4,0,2,0,3,0,0,0,2,2,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,56,-56
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0_Other_retail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511_Publishing_industries_except_internet_includes_software,1,0,0,0,0,5,14,0,0,0,0,0,3,0,3,1,0,0,1,1,6,0,1,2,0,1,18,15,3,1,111,24,9,6,110,28,23,11,39,1,2,3,16,2299,0,246,0,0,0,0,-3304,0,0,7,0,0,0,8,0,0,0,7,0,2,57,2,213,736,-736
512_Motion_picture_and_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,22,0,0,0,73,4,1,14,13,2,4372,0,0,0,0,6,0,-4753,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,375,-375
513_Broadcasting_and_telecommunications,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,26,3,4,0,3,0,1,0,1,0,0,0,1,63,0,0,0,0,0,0,-138,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,18,75,-75
514_Data_processing_internet_publishing_and_other_information_services,0,0,0,0,0,2,2,2,0,0,1,1,1,0,1,1,1,1,2,2,2,0,1,1,1,1,2,10,1,0,10,16,1,16,37,7,25,10,6,3,1,5,12,60,0,12,0,0,0,0,-303,0,0,1,0,0,0,0,0,0,0,1,0,0,23,2,19,228,-228
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,-39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-8
523_Securities_commodity_contracts_and_investments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,1,1,1,1,1,2,0,0,5,0,0,12,0,0,0,2,0,0,0,0,0,0,2,14,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,-35
524_Insurance_carriers_and_related_activities,7,11,32,6,8,5,4,14,4,4,1,2,3,0,12,4,5,3,7,8,23,7,11,10,2,4,127,71,154,5,30,21630,517,42,134,1,65,9,572,26,12,38,35,1012,0,0,0,0,0,0,-25342,0,0,0,0,0,0,0,0,0,0,0,0,2,603,32,28,24329,-24329
525_Funds_trusts_and_other_financial_vehicles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5411_Legal_services,1,1,6,2,2,19,25,4,1,0,1,2,2,0,12,3,1,1,6,5,11,1,6,15,1,6,27,14,7,0,36,78,57,2,65,21,18,1,46,11,10,10,11,345,0,0,88,0,0,0,-1029,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,34,596,-596
5412OP_Miscellaneous_professional_scientific_and_technical_services,5,22,49,39,36,157,956,187,27,21,53,57,88,7,416,88,34,46,124,155,234,44,183,363,56,152,1391,1228,182,23,2070,3017,730,203,4213,931,871,109,2444,307,141,450,621,135,886,3554,25,0,0,0,-31352,0,0,784,0,0,0,377,0,0,0,6,0,47,1607,142,1256,25585,-25585
5415_Computer_systems_design_and_related_services,10,3,56,2,0,59,136,30,8,4,9,11,33,1,45,22,8,10,54,84,142,3,18,27,17,21,176,175,41,3,394,427,61,19,679,305,200,42,251,25,13,43,66,0,405,2629,0,0,0,0,-8878,0,44,120,0,0,0,340,0,0,27,78,0,9,1043,40,411,5235,-5235
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
561_Administrative_and_support_services,0,0,0,0,0,7,9,4,1,4,0,1,6,0,3,2,1,3,9,4,8,1,3,5,0,2,30,23,36,1,35,46,106,6,62,2,26,2,60,5,4,9,9,26,0,0,0,0,0,0,-586,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,16,560,-560
562_Waste_management_and_remediation_services,0,0,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,1,0,15,0,5,1,0,1,1,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,72,-72
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,434,0,0,0,0,0,0,-635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,201,-201
621_Ambulatory_health_care_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622_Hospitals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,0,0,0,0,0,-1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623_Nursing_and_residential_care_facilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
624_Social_assistance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
711AS_Performing_arts_spectator_sports_museums_and_related_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,3,0,4,0,2,2,1,17,0,1,0,95,0,0,0,0,0,0,-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,-50
713_Amusements_gambling_and_recreation_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81_Other_services_except_government,0,9,2,2,4,17,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,61,41,2,49,39,34,25,84,21,244,46,69,10,5,47,12,773,0,0,0,0,0,0,-1959,0,0,0,0,0,0,0,0,0,0,0,0,34,0,61,143,1186,-1186
GFE_Federal_government_enterprises,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,0,1,5,0,3,0,0,0,0,76,34,41,1,19,22,2,6,25,1,11,3,20,2,6,26,11,45,0,0,0,0,0,0,-386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,341,-341
GFGD_Federal_general_government_defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFGN_Federal_general_government_nondefense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HS_Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORE_Other_real_estate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,575,35,734,49,250,778,1160,1460,54,15,131,299,154,1278,1487,360,129,425,457,755,710,223,961,414,74,278,3257,2226,10870,57,8160,13005,2504,443,2739,841,946,350,134,276,428,1110,317,53263,0,2474,0,0,0,0,-134837,0,0,0,0,0,0,0,0,0,0,0,0,116,18077,0,0,79100,-79100
Used_Scrap_used_and_secondhand_goods,0,0,0,0,0,10,108,0,14,0,0,705,0,0,12,15,39,1397,13,0,0,0,0,0,0,0,0,20,27,0,1,0,0,0,0,48,0,109,0,47,0,0,57,3454,1396,0,0,0,31,0,-7509,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2623,-2623
