commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
332_Fabricated_metal_products,166,87,50,139,95,474,6168,135,105,910,1649,1162,686,499,2189,1392,295,227,1550,14,57,153,20,311,491,67,8,129,216,1,233,3,170,23,86,15,27,14,36,3,7,0,267,240,10,48,64
333_Machinery,110,3,27,232,114,81,1149,37,54,222,426,1451,205,186,566,703,6,25,25,74,7,60,175,32,147,9,11,56,94,2,153,33,44,0,206,1,78,24,61,6,11,0,399,499,2,110,25
334_Computer_and_electronic_products,8,2,10,8,0,61,346,9,13,44,147,165,3636,165,385,896,36,120,12,2,11,27,3,31,13,10,113,39,51,0,230,6,10,0,52,60,9,25,64,1,36,0,343,1150,1,53,5
335_Electrical_equipment_appliances_and_components,20,16,23,44,5,136,1613,27,17,119,94,519,432,857,296,193,2,63,8,2,2,8,1,15,21,3,12,77,112,0,67,3,51,10,20,3,23,5,12,2,14,0,195,179,3,46,36
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,51,2,10,125,1,21,346,24,10,47,180,632,197,166,9636,337,11,45,89,2,2,8,2,15,18,9,101,1252,192,1,19,3,9,162,37,5,16,8,22,1,4,0,376,115,16,174,8
3364OT_Other_transportation_equipment,3,15,7,135,0,4,68,10,1,4,2,32,25,0,20,3036,0,1,1,1,0,1,0,3,6,0,1,1,357,0,5,3,2,0,17,0,7,5,13,4,1,0,28,3033,0,7,3
337_Furniture_and_related_products,0,0,4,10,0,61,1042,27,0,3,2,4,347,0,16,43,181,23,0,0,0,0,0,1,1,0,0,2,3,0,37,0,9,0,0,1,0,1,3,0,5,0,17,4,2,2,6
339_Miscellaneous_manufacturing,10,2,1,6,1,25,185,20,30,53,53,39,87,61,64,50,10,925,43,88,469,14,65,8,81,13,24,153,38,0,49,97,23,0,217,1,49,138,356,73,39,0,538,80,1,284,9
311FT_Food_and_beverage_and_tobacco_products,4444,85,6,9,0,23,90,12,24,29,48,42,65,28,38,37,29,50,16007,91,591,195,85,63,565,16,302,1404,174,0,64,61,19,2,66,0,17,113,291,122,19,8447,99,166,89,620,1
313TT_Textile_mills_and_textile_product_mills,71,56,1,3,1,4,84,14,36,12,33,9,12,26,311,30,310,331,65,5131,4447,78,36,0,752,469,246,272,21,0,12,13,0,0,13,0,4,8,21,2,30,0,166,66,4,20,2
315AL_Apparel_and_leather_and_allied_products,9,4,0,0,5,9,36,14,14,29,42,37,29,16,27,20,16,81,28,7,4108,16,1,9,147,8,3,39,15,0,5,3,0,13,5,0,4,4,10,9,5,0,237,44,0,84,1
322_Paper_products,14,46,2,22,1,35,240,53,315,43,194,98,159,137,116,42,87,296,1341,169,199,3797,2079,173,567,106,149,1257,37,1,1099,224,20,3,108,6,38,30,78,6,21,0,126,55,6,118,16
323_Printing_and_related_support_activities,8,2,1,2,0,27,19,18,15,22,82,16,44,12,19,25,4,17,304,14,39,59,1432,13,54,12,76,222,102,1,1242,688,35,7,318,64,95,115,295,35,5,0,205,117,19,445,10
324_Petroleum_and_coal_products,845,35,25,101,83,412,1061,22,72,258,85,79,55,44,81,55,8,30,135,31,36,122,36,1213,181,15,94,1048,1196,4,164,72,104,6,322,13,125,39,99,16,16,5,248,168,16,158,34
325_Chemical_products,1107,9,28,164,39,89,817,128,323,404,347,150,170,232,225,78,109,287,307,1596,736,561,404,565,4817,1284,61,148,88,0,106,21,192,98,40,16,80,188,485,43,46,5,336,503,2,556,75
326_Plastics_and_rubber_products,130,6,10,118,10,33,395,32,92,33,175,214,230,307,686,214,242,306,149,128,405,156,73,13,196,295,31,183,181,1,36,24,59,210,49,10,13,17,43,5,10,0,305,91,2,125,10
42_Wholesale_trade,1395,79,31,200,78,341,2431,408,281,679,596,698,660,361,1630,434,270,475,3114,605,805,503,256,713,884,237,282,1094,692,2,305,91,130,71,254,28,99,83,214,40,31,853,472,303,24,248,50
44RT_Retail_trade,424,22,10,61,13,130,977,120,84,242,192,209,239,108,717,246,80,116,993,128,180,141,75,70,220,55,51,357,254,1,107,34,34,23,90,2,36,29,73,15,11,352,148,7,7,27,13
48_Transportation,1037,95,83,391,157,624,2141,427,404,1286,436,256,247,185,578,237,122,210,2416,364,309,424,243,1112,604,137,484,1222,5843,47,256,569,124,56,397,19,92,91,235,51,125,271,249,185,547,415,56
493_Warehousing_and_storage,251,0,0,1,0,1,1,0,0,0,7,0,2,0,1,1,0,0,1,1,0,0,2,2,9,0,40,489,344,14,11,102,25,24,74,0,11,3,9,2,2,4,8,31,0,54,9
51_Information,99,7,4,9,6,81,183,20,35,74,89,82,80,38,68,91,21,40,142,30,67,44,530,36,89,22,210,749,224,11,2117,578,172,15,517,684,84,111,287,44,24,2,175,176,5,614,18
52_Finance_and_insurance,561,39,50,146,21,375,706,66,139,276,269,192,152,78,158,120,59,87,379,118,179,116,157,382,255,56,482,2788,855,6,283,7984,2456,371,484,183,176,168,169,134,119,11,517,19,1,259,59
531_Real_estate,982,22,0,153,10,81,157,28,37,39,103,92,90,34,50,50,40,59,113,47,104,47,217,184,100,32,478,2674,408,17,374,857,1107,93,692,101,132,271,699,169,61,7,633,42,10,237,18
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,156,14,2154,18,21,53,262,10,19,17,36,29,36,26,172,15,5,17,123,13,24,18,44,24,65,14,159,304,287,4,116,118,96,27,186,140,51,26,68,16,16,1,132,20,3,95,7
54_Professional_scientific_and_technical_services,358,38,60,55,40,292,2559,44,122,172,256,184,280,270,403,109,66,242,1516,104,229,133,274,390,1109,128,928,3888,384,46,520,1640,730,125,1881,1646,141,97,250,173,98,7,420,294,23,408,66
55_Management_of_companies_and_enterprises,0,4,86,119,263,9,57,37,135,266,328,524,569,160,362,337,81,131,1453,159,321,235,174,94,609,174,630,1932,202,0,215,249,40,102,273,0,149,64,164,40,56,1,165,2,0,2,4
56_Administrative_and_waste_management_services,268,11,18,33,23,180,350,15,54,89,82,59,81,51,100,85,15,32,205,35,56,79,74,123,150,28,250,703,166,12,120,347,211,9,227,40,83,71,183,37,40,2,141,199,27,330,34
61_Educational_services,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,75,0,21,0
62_Health_care_and_social_assistance,0,0,0,1,0,2,4,1,1,1,2,1,1,1,2,1,0,1,4,1,2,1,1,1,2,1,1,5,1,0,1,13,1,0,1,0,0,0,0,0,0,0,37,324,0,92,1
71_Arts_entertainment_and_recreation,1,1,1,1,0,4,10,1,2,3,6,5,8,3,4,6,1,3,6,2,3,2,6,2,7,2,21,202,23,0,360,30,3,0,27,28,1,14,36,199,3,1,27,28,0,0,0
721_Accommodation,5,3,3,7,0,18,51,10,16,20,42,31,47,20,27,30,9,20,42,17,34,16,37,10,43,11,64,162,20,2,43,67,13,14,144,8,14,29,74,18,40,1,128,135,1,180,1
722_Food_services_and_drinking_places,21,15,12,21,0,88,248,19,44,53,124,101,158,58,75,109,22,59,103,32,59,41,119,28,137,36,180,394,81,6,180,253,60,101,584,35,101,90,232,80,34,0,132,14,4,21,2
81_Other_services_except_government,357,21,24,39,6,182,595,54,74,93,146,96,120,60,218,156,28,54,423,51,85,72,110,107,169,36,378,1358,680,2,212,434,254,28,327,214,104,111,286,53,145,0,587,356,10,376,36
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE_Federal_government_enterprises,5,1,1,6,1,81,10,4,9,13,22,19,30,14,32,20,5,16,30,13,40,12,64,19,31,6,68,383,54,1,136,473,292,1,415,5,183,36,93,5,6,1,178,38,1,120,3
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,1,1,1,3,1,7,17,2,2,6,3,1,1,1,3,2,0,1,12,2,1,5,1,4,5,1,10,32,32,0,6,7,3,3,10,2,3,5,12,1,2,0,11,60,0,11,1
Used_Scrap_used_and_secondhand_goods,0,3,28,20,0,0,78,2,33,1437,103,37,5,1,29,8,0,15,0,53,0,293,1,165,30,5,14,56,0,0,1,0,0,62,0,10,0,0,1,40,7,1,81,-118,0,76,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,177,0,0,0,5,0,0,0,0,0,0,7,5,3,0,0,0,0,0,0,0,0,0,0,22,0,10,0,812,0,86,227,0,0,0,13,0,0,0,18,0,3,0,2449,50,6,0
