commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
332_Fabricated_metal_products,143,26,48,105,88,170,4323,126,45,619,1460,590,75,354,1970,300,102,216,568,12,60,63,10,165,161,28,31,89,169,1,164,25,287,10,45,14,14,6,20,3,7,2,129,41,3,45,22
333_Machinery,3,6,15,86,73,6,183,61,16,72,378,520,14,70,593,206,6,37,18,35,1,35,30,25,17,5,5,15,46,1,48,1,4,0,81,1,25,6,22,19,17,0,94,245,0,23,1
334_Computer_and_electronic_products,7,3,4,9,0,12,151,16,6,21,104,56,172,51,238,58,17,71,7,2,10,18,1,13,10,4,10,30,19,0,103,11,12,0,11,4,3,10,34,1,11,0,50,160,0,21,1
335_Electrical_equipment_appliances_and_components,4,1,6,10,3,16,252,10,9,11,95,189,14,185,211,49,1,32,5,1,3,11,1,6,9,3,7,21,27,0,10,3,16,2,3,1,1,1,2,7,3,0,49,51,0,12,2
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,66,7,12,55,1,21,312,50,23,57,304,266,28,178,8208,121,10,60,48,4,19,18,6,19,20,7,203,603,197,1,30,14,15,83,37,3,11,1,5,0,8,3,381,50,1,99,4
3364OT_Other_transportation_equipment,2,13,4,84,0,3,79,15,1,2,17,48,0,1,24,680,0,3,1,0,1,1,0,2,2,0,1,2,193,0,5,1,3,0,27,0,8,1,3,0,4,0,31,835,0,2,0
337_Furniture_and_related_products,0,1,2,3,0,11,405,14,2,4,7,6,63,9,49,34,57,54,1,1,4,2,1,2,3,1,0,0,3,0,14,47,98,0,0,1,0,1,3,0,1,0,10,1,0,0,1
339_Miscellaneous_manufacturing,10,7,3,6,1,12,153,80,13,29,74,64,33,40,117,63,13,752,39,64,267,29,13,10,192,3,64,189,55,0,41,84,64,0,64,1,20,21,74,69,85,2,295,65,4,233,2
311FT_Food_and_beverage_and_tobacco_products,3090,26,2,6,0,10,51,17,10,17,30,20,11,12,27,8,40,143,8398,200,1213,124,14,29,834,4,341,1014,260,0,29,24,10,1,27,0,8,73,261,125,5,5657,23,69,8,439,1
313TT_Textile_mills_and_textile_product_mills,54,64,4,4,1,0,25,34,50,49,32,28,14,20,368,15,303,525,149,5227,2390,94,16,2,1790,309,279,819,28,0,23,16,0,0,6,0,2,2,6,2,18,1,82,45,0,14,0
315AL_Apparel_and_leather_and_allied_products,2,1,1,1,3,0,2,11,7,4,37,16,3,4,51,5,9,55,7,13,2593,4,3,2,236,3,6,18,5,0,6,5,1,5,3,0,1,2,6,2,15,0,49,14,0,37,0
322_Paper_products,5,12,9,28,1,12,216,64,211,51,194,96,31,83,161,39,34,212,508,99,190,2328,694,74,281,34,208,615,43,1,858,82,35,1,44,1,13,9,31,8,17,8,61,31,3,107,3
323_Printing_and_related_support_activities,2,1,1,1,0,3,3,10,6,8,14,6,2,4,9,3,1,5,21,5,13,12,166,5,12,3,23,69,21,0,209,65,7,1,33,15,10,11,39,5,1,0,9,17,1,60,3
324_Petroleum_and_coal_products,489,31,19,76,100,231,854,19,44,211,81,63,11,28,94,31,5,30,70,23,24,87,12,474,85,5,75,873,984,4,139,46,78,3,344,6,91,16,59,16,8,2,164,0,0,0,0
325_Chemical_products,580,14,35,150,38,38,707,119,140,235,281,138,25,122,439,51,68,199,197,973,1020,245,66,188,2061,293,83,242,111,0,121,27,141,41,50,6,15,42,150,6,32,3,169,222,1,319,19
326_Plastics_and_rubber_products,56,5,3,12,5,4,77,30,9,14,92,82,11,57,580,32,26,81,26,19,113,27,5,8,24,26,16,47,88,0,12,11,17,38,11,6,3,2,6,2,4,0,63,20,0,21,2
42_Wholesale_trade,904,63,22,153,83,155,1340,286,142,518,704,526,93,229,1311,153,111,539,1326,609,594,373,105,358,552,69,337,1293,562,2,243,58,110,24,195,11,54,22,78,24,21,269,207,117,3,103,7
44RT_Retail_trade,301,21,11,44,18,72,909,181,39,123,205,110,27,66,654,72,48,101,497,79,206,70,8,36,153,22,51,267,232,1,64,19,62,10,69,1,21,10,34,13,10,0,68,3,1,20,4
48_Transportation,1276,114,64,275,208,175,1845,695,154,643,360,147,31,106,585,75,66,165,1406,319,258,270,87,598,293,42,385,1204,5438,44,179,250,76,33,132,9,39,54,89,49,12,214,96,64,258,102,16
493_Warehousing_and_storage,34,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,13,42,421,8,6,109,16,8,60,0,7,1,3,1,1,1,4,27,0,38,1
51_Information,30,9,10,15,7,31,144,39,29,49,102,64,11,32,90,24,15,35,99,29,58,40,232,32,73,12,218,653,137,3,586,240,195,7,134,100,41,32,114,37,21,9,95,38,2,223,4
52_Finance_and_insurance,265,24,29,77,13,87,382,90,56,94,155,96,12,43,141,36,21,43,125,71,83,54,33,80,88,17,310,925,417,3,92,3035,1274,114,99,19,31,14,48,52,24,15,137,5,1,143,7
531_Real_estate,1128,17,0,156,11,76,102,42,25,58,89,71,13,36,80,26,18,53,66,41,86,40,99,57,78,15,617,1835,225,20,229,330,440,37,286,88,87,115,411,204,56,19,316,45,5,194,10
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,25,4,393,3,9,7,179,8,6,10,26,16,4,14,49,5,7,19,71,12,24,9,13,14,46,4,106,317,23,1,41,44,51,9,15,64,5,3,11,21,6,3,26,9,0,31,1
54_Professional_scientific_and_technical_services,158,25,21,19,60,48,1368,61,44,73,196,124,30,101,361,38,54,147,544,95,188,70,90,100,360,32,823,2440,179,46,317,384,383,101,107,1473,33,23,83,170,45,27,202,44,1,70,4
55_Management_of_companies_and_enterprises,0,3,32,59,261,5,40,23,53,103,257,305,120,66,278,93,35,118,398,61,117,122,48,32,242,52,398,1391,120,0,192,197,35,90,391,0,174,40,143,43,29,0,95,1,0,2,1
56_Administrative_and_waste_management_services,32,5,4,3,16,10,243,10,8,13,35,22,6,19,66,7,9,25,96,17,33,12,17,19,63,6,145,433,32,7,56,62,69,2,20,2,6,4,15,29,8,5,35,38,1,56,3
61_Educational_services,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,23,0,7,0
62_Health_care_and_social_assistance,0,0,0,1,0,1,7,1,1,2,4,2,0,1,5,1,0,1,4,2,2,1,1,1,2,0,3,7,2,0,2,5,4,0,2,0,1,0,0,0,0,0,2,100,0,30,0
71_Arts_entertainment_and_recreation,0,0,0,1,0,2,6,1,2,2,6,5,2,3,6,3,1,3,4,2,2,2,3,1,4,1,31,97,19,0,382,9,2,0,0,0,0,12,44,40,0,1,0,2,0,6,0
721_Accommodation,22,2,3,7,0,4,71,9,7,14,27,16,4,7,27,6,3,9,18,11,13,9,11,9,12,3,66,196,16,2,23,19,32,6,18,0,6,7,24,13,42,2,162,21,0,59,1
722_Food_services_and_drinking_places,16,11,9,15,0,44,167,28,20,27,79,56,15,22,67,23,10,42,46,22,34,23,36,20,48,8,280,819,85,5,109,157,66,31,243,0,74,36,129,68,22,0,89,76,1,0,0
81_Other_services_except_government,188,13,13,49,5,29,716,79,32,37,87,46,10,28,98,32,15,39,199,32,49,29,30,33,74,10,401,1185,433,1,97,90,130,11,72,46,22,15,55,50,77,17,356,72,4,197,3
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE_Federal_government_enterprises,2,1,0,3,0,22,0,3,4,5,14,8,3,7,28,5,1,7,9,5,14,6,16,8,14,1,40,118,24,1,56,128,137,0,313,2,95,1,3,1,1,2,34,10,1,48,0
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,0,1,1,2,1,1,4,5,3,5,7,3,1,2,3,2,1,1,5,2,4,4,1,4,4,1,6,20,29,0,3,4,1,2,1,4,0,0,1,1,1,0,3,32,0,2,0
Used_Scrap_used_and_secondhand_goods,0,0,11,6,0,0,49,2,12,477,101,13,1,1,9,2,0,4,10,27,0,112,0,158,2,1,15,46,0,0,1,0,0,22,0,0,0,0,0,29,3,0,41,47,0,38,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,1,0,12,0,1674,0,126,0
