commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
332_Fabricated_metal_products,212,32,70,147,122,230,4866,170,58,790,2203,770,76,500,2130,601,131,261,779,15,74,93,10,262,223,36,33,103,207,1,209,32,365,13,68,19,21,7,23,3,9,2,174,186,3,56,29
333_Machinery,3,6,17,95,77,6,162,61,14,70,439,543,11,78,485,320,5,34,17,33,1,37,25,29,20,5,4,14,48,1,46,1,4,0,90,1,28,6,20,16,17,0,92,836,0,21,1
334_Computer_and_electronic_products,6,3,4,8,0,12,109,13,5,17,101,51,116,50,173,83,14,60,6,1,8,17,1,14,9,4,8,24,17,0,82,9,9,0,10,4,3,8,27,0,11,0,47,459,0,17,1
335_Electrical_equipment_appliances_and_components,5,1,8,13,3,18,252,12,9,13,121,209,12,225,200,82,1,34,5,1,3,13,1,9,10,3,7,21,30,0,12,3,18,2,4,1,1,1,2,6,4,0,55,183,0,12,3
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,58,5,12,48,1,16,226,41,17,47,289,220,18,159,5685,151,7,45,38,3,13,16,4,18,16,5,145,466,154,1,23,11,12,72,32,3,10,1,4,0,7,3,327,140,1,78,3
3364OT_Other_transportation_equipment,1,7,3,60,0,2,40,9,0,1,10,28,0,0,12,604,0,2,0,0,0,0,0,1,2,0,0,1,112,0,3,1,2,0,16,0,5,1,2,0,2,0,18,1566,0,1,0
337_Furniture_and_related_products,0,0,2,3,0,9,298,11,2,3,6,5,39,7,30,40,48,36,1,1,2,2,1,2,2,1,0,0,2,0,12,35,70,0,0,1,0,1,2,0,1,0,9,2,0,0,1
339_Miscellaneous_manufacturing,12,6,4,7,1,13,133,80,11,26,82,62,24,43,102,91,12,665,39,64,251,30,12,11,193,3,52,167,54,0,42,83,60,0,74,1,23,21,66,60,87,3,286,201,3,216,2
311FT_Food_and_beverage_and_tobacco_products,3352,29,3,8,0,12,51,20,12,19,47,27,10,18,30,16,38,130,8524,177,1139,137,17,34,839,5,310,998,253,0,36,32,13,1,33,0,10,74,236,109,6,6668,28,184,8,416,1
313TT_Textile_mills_and_textile_product_mills,61,64,5,5,1,0,21,37,48,48,37,28,10,22,322,22,290,521,146,5142,2504,105,14,2,1969,313,248,787,29,0,24,19,0,0,9,0,3,2,7,2,23,1,95,146,0,14,1
315AL_Apparel_and_leather_and_allied_products,3,1,1,1,4,0,2,11,6,4,39,15,2,5,41,7,8,52,7,12,2461,4,3,2,242,2,5,16,5,0,5,5,1,5,3,0,1,2,5,2,15,0,46,41,0,33,0
322_Paper_products,7,17,12,39,1,16,235,90,255,61,279,121,30,115,174,70,44,263,645,122,229,3206,756,101,371,40,224,718,52,1,1039,107,42,1,62,2,19,12,38,8,23,10,81,127,3,118,4
323_Printing_and_related_support_activities,3,2,1,1,0,3,4,12,6,9,17,7,2,4,9,6,2,6,25,6,15,16,177,6,15,3,23,77,24,0,250,81,8,1,44,20,14,14,43,5,1,0,12,60,1,67,3
324_Petroleum_and_coal_products,678,40,27,105,131,276,889,25,52,251,116,78,10,39,97,54,5,35,87,28,30,116,13,676,112,6,82,1040,1216,5,167,58,97,3,426,8,113,21,65,17,10,3,203,0,0,0,0
325_Chemical_products,714,16,42,179,45,42,672,143,154,250,353,152,22,146,389,82,69,206,217,1048,1097,304,63,247,2447,339,74,236,118,0,128,29,157,46,55,7,17,50,158,5,40,3,191,836,1,352,21
326_Plastics_and_rubber_products,82,7,5,21,7,6,96,42,13,18,143,105,12,84,618,66,38,101,36,29,163,46,5,12,35,38,19,62,115,0,16,16,24,53,17,8,5,3,9,2,6,0,96,88,0,31,2
42_Wholesale_trade,1062,70,27,184,98,168,1276,333,154,553,894,569,77,274,1124,228,117,545,1442,628,626,449,100,458,632,75,309,1309,615,3,256,64,120,27,219,12,61,24,76,22,24,331,227,339,2,104,7
44RT_Retail_trade,377,23,13,51,22,82,872,198,42,133,264,121,21,78,540,108,48,97,601,79,207,82,8,47,169,21,50,294,269,1,69,21,67,10,83,1,26,11,34,13,11,0,72,9,1,23,5
48_Transportation,1492,130,84,348,249,197,1753,824,172,700,463,159,25,126,493,115,68,167,1553,329,263,331,83,738,338,45,354,1205,6031,54,191,311,83,37,152,10,45,55,87,48,14,258,107,204,214,103,19
493_Warehousing_and_storage,42,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,12,44,452,9,7,122,17,9,65,0,7,1,3,1,1,2,4,88,0,37,2
51_Information,45,10,12,17,8,34,135,43,30,51,126,72,9,39,83,40,15,37,110,30,61,47,219,39,83,13,209,679,150,4,669,273,214,7,157,113,48,35,111,33,23,10,101,135,2,224,5
52_Finance_and_insurance,322,28,36,93,15,94,356,100,59,101,202,106,11,50,131,60,21,46,143,75,92,65,33,102,105,18,304,984,458,4,102,3516,1455,128,126,22,39,17,54,53,29,18,170,12,1,153,9
531_Real_estate,1268,21,0,185,13,75,95,48,26,59,114,81,11,42,73,43,19,55,74,43,91,47,94,68,91,16,595,1921,262,23,246,407,538,40,330,100,102,126,400,184,63,22,339,135,4,197,11
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,35,5,485,3,11,9,168,8,6,10,34,18,4,18,49,8,7,19,79,13,26,11,13,18,53,5,101,328,26,2,43,51,60,9,19,72,6,4,13,19,6,4,28,33,0,33,1
54_Professional_scientific_and_technical_services,231,34,32,26,70,63,1312,70,49,81,262,144,27,135,362,65,54,152,621,99,204,87,95,135,429,37,801,2576,205,54,346,454,463,112,138,1704,43,29,92,159,53,32,226,159,1,88,5
55_Management_of_companies_and_enterprises,0,3,43,77,323,6,39,30,59,115,347,359,107,85,271,156,39,129,468,68,139,155,49,42,300,60,408,1545,138,0,216,237,41,106,455,0,204,47,148,42,35,0,110,2,0,2,1
56_Administrative_and_waste_management_services,48,7,6,5,18,13,238,12,9,15,48,26,5,25,68,11,9,27,112,18,37,16,18,26,76,7,144,466,37,9,62,74,85,2,26,2,8,6,18,27,9,5,40,137,1,72,4
61_Educational_services,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,58,0,5,0
62_Health_care_and_social_assistance,0,0,0,1,0,1,5,1,1,2,4,2,0,1,3,2,0,1,3,1,2,1,1,1,2,0,2,6,2,0,2,5,3,0,2,0,0,0,0,0,0,0,2,250,0,22,0
71_Arts_entertainment_and_recreation,0,0,0,1,0,1,5,1,2,2,7,5,1,3,5,5,1,3,4,1,2,2,2,1,4,1,27,91,18,0,363,9,2,0,0,0,0,13,40,34,0,2,0,7,0,5,0
721_Accommodation,22,2,4,8,0,4,60,11,8,15,36,18,3,9,25,11,4,10,21,12,16,11,10,11,15,3,62,199,17,2,25,22,33,7,20,0,6,8,25,11,48,2,171,75,0,57,1
722_Food_services_and_drinking_places,19,12,11,18,0,46,153,31,21,29,103,64,13,28,63,40,10,43,51,23,36,27,34,24,57,9,249,787,87,7,116,174,70,41,272,0,84,39,123,62,25,0,89,195,1,0,0
81_Other_services_except_government,200,14,16,52,5,31,597,86,32,37,107,50,8,33,89,49,15,38,211,32,51,33,28,39,83,10,356,1141,455,1,97,100,139,11,82,50,25,17,54,43,82,18,360,245,3,188,3
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE_Federal_government_enterprises,2,1,0,3,0,19,0,2,4,5,15,7,2,7,21,7,1,6,8,5,12,5,12,9,13,1,32,103,21,1,48,115,125,0,279,2,86,1,3,1,1,2,31,28,0,39,0
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,0,1,1,1,1,1,3,4,2,4,6,2,0,2,2,2,1,1,5,2,3,4,1,4,3,1,5,16,22,0,3,3,1,1,1,4,1,0,1,0,1,0,3,86,0,2,0
Used_Scrap_used_and_secondhand_goods,0,0,14,7,0,0,44,2,12,440,116,13,1,1,8,4,0,4,7,26,0,117,0,175,2,1,14,48,0,0,1,0,0,23,0,0,0,0,0,28,4,1,46,136,0,39,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,8,0,2900,0,68,0
