commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
332_Fabricated_metal_products,256,35,71,183,169,346,5971,182,68,1123,2884,881,240,517,2369,814,198,315,1327,20,90,128,15,304,281,38,31,110,205,2,277,32,445,16,103,25,32,11,30,3,12,2,226,437,7,66,40
333_Machinery,3,6,18,123,105,9,202,57,13,94,562,660,33,82,497,429,7,38,21,43,1,44,35,30,29,4,4,14,59,1,56,1,5,0,121,1,38,9,24,15,22,0,101,1934,0,24,1
334_Computer_and_electronic_products,8,3,5,10,0,23,151,16,7,29,152,75,430,68,237,152,24,94,10,2,11,26,2,20,12,4,10,35,24,0,117,10,11,0,14,5,4,16,42,0,21,0,76,1176,0,24,1
335_Electrical_equipment_appliances_and_components,6,1,10,21,5,28,396,16,12,27,181,280,46,280,268,124,1,50,10,2,4,18,1,13,12,3,8,28,38,0,19,4,28,4,4,2,1,1,3,6,8,0,78,534,1,14,4
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,70,6,13,67,1,22,327,45,19,81,429,288,62,188,7434,226,10,58,63,4,15,21,5,23,19,5,180,639,180,1,30,12,18,107,46,4,14,2,7,0,10,3,482,357,2,108,5
3364OT_Other_transportation_equipment,1,9,4,92,0,2,46,11,0,2,10,30,1,0,14,769,0,2,1,0,0,1,0,2,3,0,0,1,122,0,4,1,2,0,16,0,5,1,4,0,3,0,19,3232,0,1,0
337_Furniture_and_related_products,0,0,2,5,0,16,447,11,1,3,7,6,128,6,30,52,86,37,1,1,2,1,1,1,3,0,0,1,2,0,18,35,77,0,0,2,0,1,2,0,3,0,14,4,0,1,1
339_Miscellaneous_manufacturing,12,6,3,8,1,16,142,69,10,27,84,58,61,38,107,92,12,622,53,80,256,28,17,9,185,2,43,151,52,0,53,77,56,0,94,1,30,27,72,57,96,2,274,346,4,205,2
311FT_Food_and_beverage_and_tobacco_products,3013,35,4,12,0,17,65,23,16,28,76,40,36,25,42,27,46,120,10965,161,1076,145,33,29,734,6,302,1070,219,0,55,48,20,2,44,0,14,91,246,98,9,7536,39,232,21,385,2
313TT_Textile_mills_and_textile_product_mills,50,51,4,5,1,0,15,29,34,44,34,22,20,16,270,19,283,491,141,4948,2523,94,15,1,1785,240,194,678,24,0,23,20,0,0,11,0,4,4,10,2,29,1,102,224,0,12,1
315AL_Apparel_and_leather_and_allied_products,4,1,1,1,5,0,2,11,5,5,39,14,5,5,38,8,9,59,11,13,2735,5,3,2,259,2,5,16,5,0,5,5,1,6,3,0,1,2,6,3,17,0,44,71,0,31,0
322_Paper_products,8,21,9,41,1,18,227,89,224,65,274,106,68,96,161,65,57,278,795,133,221,3231,940,73,353,30,187,659,44,1,1038,103,40,1,69,2,22,17,45,7,27,7,85,211,5,91,4
323_Printing_and_related_support_activities,5,2,1,2,0,6,6,16,7,13,24,9,5,5,12,9,2,9,47,9,22,25,351,7,21,4,31,111,32,1,408,124,12,2,70,31,22,26,70,6,2,1,18,127,2,93,4
324_Petroleum_and_coal_products,712,47,26,131,160,328,939,27,53,310,138,83,28,38,99,57,7,39,125,34,38,133,18,641,127,6,85,1186,1263,6,196,65,117,3,432,9,117,28,76,16,13,5,222,0,0,0,0
325_Chemical_products,675,16,32,185,50,48,664,139,154,279,361,139,55,123,328,82,75,209,271,1171,1142,335,80,223,2558,323,58,202,102,0,130,25,172,46,49,8,15,68,183,4,49,4,197,1542,1,367,23
326_Plastics_and_rubber_products,78,8,5,33,8,8,115,41,14,23,163,95,33,80,556,80,55,107,53,41,209,64,6,12,39,40,19,69,111,1,18,18,31,59,23,9,7,5,12,2,8,0,123,163,0,39,2
42_Wholesale_trade,934,70,25,206,121,200,1337,294,145,685,986,536,205,246,1193,258,132,512,1731,622,636,480,129,430,619,67,251,1250,631,3,284,68,135,34,231,13,66,33,88,22,31,384,266,668,5,107,9
44RT_Retail_trade,400,25,13,63,28,103,969,196,43,171,330,134,66,79,595,142,58,102,912,75,217,94,12,47,175,18,53,344,280,1,85,24,75,13,91,2,29,16,41,14,14,0,85,15,3,27,6
48_Transportation,1506,156,98,386,350,222,1895,879,168,831,539,165,68,117,523,131,72,165,1850,324,270,348,111,693,349,41,351,1319,7098,68,213,456,85,47,178,11,55,71,101,55,18,278,125,383,439,94,23
493_Warehousing_and_storage,46,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,0,0,1,0,0,0,1,0,4,0,13,52,492,11,8,143,21,11,69,0,8,1,3,1,1,3,4,159,0,35,2
51_Information,62,13,10,19,9,44,149,42,28,62,144,80,25,38,88,48,19,43,159,34,69,54,318,37,91,12,216,771,160,4,913,312,260,8,186,127,59,48,129,31,25,9,105,264,3,224,6
52_Finance_and_insurance,349,37,37,118,20,121,401,96,63,133,264,117,31,46,144,72,26,58,226,98,119,83,55,102,131,18,336,1199,506,4,137,4283,1965,153,177,26,56,31,83,62,40,20,241,13,2,178,11
531_Real_estate,1181,28,0,223,16,77,108,48,28,67,141,92,34,40,78,49,26,66,111,53,108,54,139,61,105,16,634,2253,319,26,307,554,815,46,387,116,122,175,474,169,76,23,366,215,6,205,14
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,48,8,507,5,14,16,203,9,8,15,47,22,12,22,62,10,8,22,127,16,32,15,23,20,67,6,112,400,32,2,57,65,91,11,28,87,9,7,19,19,8,4,34,74,0,41,1
54_Professional_scientific_and_technical_services,307,53,42,36,85,105,1451,67,54,106,331,161,81,154,422,77,62,167,909,115,235,105,159,138,493,40,810,2869,227,57,416,530,643,122,186,1883,59,49,132,147,63,32,247,305,2,122,6
55_Management_of_companies_and_enterprises,0,4,39,92,394,7,39,31,58,137,401,368,286,81,269,162,49,139,646,81,171,172,68,39,330,57,405,1690,138,0,243,255,48,117,446,0,204,61,165,40,43,0,116,4,0,2,1
56_Administrative_and_waste_management_services,63,11,8,7,23,21,270,12,10,20,62,30,16,29,81,14,11,30,169,22,43,20,31,27,90,8,149,532,42,10,76,89,121,3,36,2,11,9,26,25,11,5,45,260,2,101,5
61_Educational_services,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,77,0,4,0
62_Health_care_and_social_assistance,0,0,0,1,0,1,4,1,1,2,3,2,1,1,3,1,0,1,3,1,2,1,1,1,2,0,1,5,1,0,2,5,2,0,1,0,0,0,0,0,0,0,1,335,0,17,0
71_Arts_entertainment_and_recreation,0,0,0,1,0,1,4,1,1,2,7,4,3,2,4,5,1,3,5,1,3,2,3,1,4,0,24,87,17,0,358,9,2,0,0,0,0,15,40,28,0,2,0,12,0,3,0
721_Accommodation,16,2,3,9,0,5,50,12,8,18,45,21,11,10,27,13,5,14,31,16,23,13,15,9,19,3,61,214,15,2,28,24,32,8,20,0,6,12,33,10,57,2,169,144,0,52,1
722_Food_services_and_drinking_places,17,14,10,21,0,54,163,29,22,35,129,72,41,30,69,50,14,49,72,27,43,32,50,21,67,10,215,747,80,10,139,185,78,62,293,0,92,49,132,59,28,0,78,200,1,0,0
81_Other_services_except_government,165,17,15,47,6,38,531,80,30,41,122,50,23,34,92,49,18,41,285,37,58,36,40,35,89,9,320,1128,451,1,105,109,162,12,95,52,30,24,65,34,88,14,341,445,5,173,3
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE_Federal_government_enterprises,3,2,0,6,1,38,0,4,6,9,28,13,10,12,35,11,2,10,20,10,25,10,30,13,24,2,55,197,31,1,93,198,255,1,467,4,147,2,5,2,1,3,55,83,1,63,1
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,0,0,1,2,1,2,4,3,1,4,5,2,1,1,2,2,0,1,7,2,2,5,1,3,3,1,5,17,20,0,3,3,1,1,2,3,1,1,2,0,1,0,4,146,0,3,0
Used_Scrap_used_and_secondhand_goods,0,0,20,12,0,0,59,3,16,624,164,15,3,1,11,6,0,5,6,36,0,154,1,186,2,1,19,69,0,0,1,0,0,34,0,0,0,0,1,39,6,1,67,256,0,53,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,7,0,3891,0,47,0
