commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
337_Furniture_and_related_products,0,0,2,3,0,11,313,10,1,2,6,5,66,5,20,47,52,33,1,0,2,1,0,2,2,0,0,0,2,0,13,28,67,0,0,1,0,1,2,0,2,0,10,3,0,0,1
339_Miscellaneous_manufacturing,12,6,3,7,1,14,131,73,10,24,81,60,40,38,79,107,11,651,42,66,256,27,13,11,186,2,47,152,50,0,47,70,59,0,78,1,24,24,71,58,88,3,275,284,4,208,2
311FT_Food_and_beverage_and_tobacco_products,3017,27,3,9,0,13,50,19,12,19,53,30,19,18,25,22,35,114,8066,141,1011,116,20,32,698,5,272,894,200,0,41,31,14,1,32,0,10,77,225,94,6,7126,30,200,14,358,1
313TT_Textile_mills_and_textile_product_mills,57,53,4,5,1,0,17,32,40,41,34,25,15,18,221,24,258,505,132,4611,2508,90,13,2,1817,227,215,695,25,0,24,17,0,0,9,0,3,3,9,2,24,1,96,192,0,12,0
315AL_Apparel_and_leather_and_allied_products,3,1,0,1,4,0,1,10,5,3,34,13,3,4,26,8,7,50,7,10,2322,4,2,2,218,2,4,14,4,0,5,4,1,4,3,0,1,2,5,2,13,0,39,51,0,28,0
322_Paper_products,8,17,8,36,1,16,210,84,226,54,257,108,45,95,121,76,44,260,631,113,217,2812,757,92,338,27,193,628,43,1,1001,88,40,1,58,2,18,14,41,7,23,9,78,168,4,99,4
323_Printing_and_related_support_activities,4,2,1,2,0,4,5,13,6,9,19,7,3,5,7,8,2,7,31,7,18,18,230,7,17,3,26,87,25,0,316,85,9,1,51,23,16,19,56,5,1,1,14,92,2,76,3
324_Petroleum_and_coal_products,811,45,24,124,163,333,966,29,58,277,137,90,19,41,82,73,6,41,107,31,38,127,16,823,130,6,91,1177,1287,6,201,60,119,4,444,9,120,27,80,18,12,5,231,0,0,0,0
325_Chemical_products,732,15,31,174,49,45,638,139,153,237,349,146,36,127,272,96,65,210,225,1030,1134,294,67,265,2455,279,65,211,104,0,131,24,166,46,49,7,15,60,177,5,42,4,191,1238,1,358,21
326_Plastics_and_rubber_products,85,7,4,26,8,7,102,41,13,19,151,102,21,79,450,86,42,106,41,33,190,51,5,14,37,33,19,64,108,0,17,15,28,56,19,9,6,4,11,2,7,0,109,132,0,35,2
42_Wholesale_trade,1081,68,23,193,118,194,1283,310,150,549,948,584,136,256,946,300,114,550,1486,595,644,431,111,518,629,61,284,1278,623,3,283,60,133,30,225,13,63,30,88,23,27,380,253,550,4,107,8
44RT_Retail_trade,413,23,11,57,27,100,913,197,44,141,302,137,40,78,448,154,49,102,662,74,202,83,10,55,168,16,52,325,284,1,81,21,74,10,90,2,28,14,39,14,12,0,79,12,2,23,5
48_Transportation,1654,140,79,347,319,208,1783,863,167,670,488,167,43,117,395,147,62,167,1600,309,262,307,92,763,337,36,368,1276,6568,64,207,351,84,43,162,10,49,68,100,53,15,282,115,309,397,97,20
493_Warehousing_and_storage,48,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,13,48,462,11,8,121,20,10,65,0,8,1,3,1,1,2,4,132,0,37,2
51_Information,58,11,9,18,9,40,140,43,29,52,135,78,16,37,67,52,16,41,125,30,67,48,255,44,88,11,216,715,150,4,814,263,245,8,165,118,51,43,128,33,24,11,104,211,3,229,5
52_Finance_and_insurance,358,31,31,102,19,108,366,97,61,105,228,114,19,46,105,78,22,53,168,81,107,68,40,116,116,15,321,1058,460,4,121,3453,1730,140,142,23,45,24,71,59,33,22,203,14,2,166,10
531_Real_estate,1320,23,0,199,15,79,99,48,27,58,126,89,21,40,59,55,20,62,86,46,102,47,110,75,98,14,622,2048,280,25,284,427,687,43,343,107,107,158,463,183,68,26,355,187,6,204,12
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,47,7,436,4,13,13,187,9,7,12,41,22,7,20,44,11,7,22,98,14,31,12,17,23,62,5,112,368,29,2,53,53,79,11,23,81,7,6,17,20,7,4,32,58,0,39,1
54_Professional_scientific_and_technical_services,293,42,31,30,82,85,1360,69,53,85,296,158,51,141,305,85,54,166,715,102,228,90,119,158,463,33,820,2690,210,57,395,443,568,119,155,1780,48,40,118,159,57,37,240,245,2,107,5
55_Management_of_companies_and_enterprises,0,3,35,83,378,7,39,30,60,116,376,378,190,81,211,193,41,140,525,71,161,154,56,47,318,51,415,1604,135,0,239,223,47,114,437,0,198,57,168,43,39,0,115,3,0,2,1
56_Administrative_and_waste_management_services,61,9,6,6,22,17,253,12,10,16,55,29,10,27,59,15,10,30,132,19,42,17,23,31,84,7,151,498,39,10,72,74,107,3,30,2,9,8,23,28,10,6,44,213,1,89,4
61_Educational_services,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,78,0,5,0
62_Health_care_and_social_assistance,0,0,0,1,0,1,5,1,1,2,3,2,0,1,2,2,0,1,3,1,2,1,1,1,2,0,2,6,2,0,2,5,3,0,1,0,0,0,0,0,0,0,2,340,0,21,0
71_Arts_entertainment_and_recreation,0,0,0,1,0,1,4,1,1,2,7,5,2,2,3,5,1,3,4,1,2,2,2,1,4,0,24,84,16,0,358,8,2,0,0,0,0,14,40,31,0,2,0,10,0,4,0
721_Accommodation,21,2,3,8,0,5,55,12,8,15,40,20,7,10,20,14,4,12,24,13,20,11,12,12,17,3,62,203,15,2,27,21,34,7,19,0,6,11,31,11,52,3,172,115,0,56,1
722_Food_services_and_drinking_places,19,13,9,19,0,52,156,31,22,29,117,71,25,28,52,54,11,48,58,24,41,28,40,26,63,8,237,765,82,8,133,164,78,52,274,0,85,47,137,64,26,0,86,221,1,0,0
81_Other_services_except_government,196,15,13,48,6,35,551,83,31,35,114,51,15,32,70,58,15,41,232,33,56,32,32,42,86,8,341,1112,436,1,105,94,154,12,85,50,26,21,63,40,83,19,352,366,5,183,3
GFG_Federal_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFE_Federal_government_enterprises,3,1,0,5,1,35,0,4,6,7,26,13,6,11,27,13,2,10,15,8,23,9,24,15,22,1,54,178,31,1,88,172,234,1,440,4,137,2,5,2,1,3,52,67,1,64,1
GSLG_State_and_local_general_government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSLE_State_and_local_government_enterprises,0,1,1,2,1,2,4,4,2,4,6,2,0,1,2,2,0,1,6,2,3,4,1,4,3,1,5,17,21,0,3,3,1,1,2,4,0,1,2,0,1,0,4,131,0,3,0
Used_Scrap_used_and_secondhand_goods,0,0,11,7,0,0,38,2,11,366,105,11,2,1,6,5,0,3,5,22,0,96,0,159,1,1,13,43,0,0,0,0,0,22,0,0,0,0,1,26,4,1,43,158,0,36,0
Other_Noncomparable_imports_and_rest_of_the_world_adjustment,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,9,0,3646,0,58,0
